,rmsd
36975451,0.3914538646755367
36975452,0.31119785924242255
36975453,0.2800834837056445
36975454,0.24950350805400984
36975455,0.3085200354356364
36975456,0.26961668502053976
36991787,0.13146894917157068
36991788,0.7411840948326951
36991789,0.08594368229194811
36991790,0.06765736282103263
36991791,0.4847545872593659
36991792,0.2800066716280607
36991793,1.4540191853368782
36991794,0.2833375580421222
36991795,0.08594186691164686
36991796,0.13188685814343365
36987706,0.12504529001123005
36987707,0.12417150616942295
36987708,0.1250951392039433
36984387,0.24988124837623144
36984388,0.25159788329796423
36984389,0.3836216393073109
36973916,0.23409084551664885
36973917,0.2338808808287701
36973918,0.1804298839072611
36973919,0.17898759524513935
37014846,0.36916863909989966
37014847,0.3682482986783039
37014848,0.7835715721433132
37014849,0.3695758445549133
37014850,0.38156362877559263
37014851,0.7838276517623192
37014852,0.4197023850131671
37014853,0.5174544915390593
36991461,0.506958019032925
36991462,0.3926992835725358
36991463,0.3749266106227794
36991464,0.39949074854108646
36991465,0.5131710330697962
36991466,0.39241034279188186
36991467,0.6052780892734424
36991468,0.39501756049286996
36991469,0.3757747901692285
36991470,0.37654033615034493
36969580,0.14948183274267726
36969581,0.14940904252855192
37016997,0.12146688972286206
37015999,0.242342748731261
37016000,0.25328887596188254
36972482,0.49978286928757715
36972483,0.3339675256623103
36972484,0.3340488166284944
36972485,0.3927421989453169
36972486,0.33405523992309205
36972487,0.39259002676151644
36972488,0.39234620556763233
36972489,0.4172773838250574
36973802,0.1567649492389847
36973803,0.20648596878220335
37016100,0.1843631200775148
37016101,0.1762320796928939
37016102,0.12825931200168733
36974444,0.1430259760275958
36968620,0.36345130787854596
36968621,0.32305754780931406
37013461,0.9376776597048087
37013462,0.8951544080145045
37013463,0.9376749586411747
37013464,0.9374416690282094
37013465,1.3482341378410463
37013466,1.3482107200968778
37013467,1.3482310646105005
37013468,1.3482326819407913
37014214,0.3935560059912355
37014215,0.3932992973963386
37014216,0.13001670978034444
37014217,0.33234629802502075
37008313,0.4630163638714829
37008314,0.6473573187167133
37008315,0.4630326118131768
37008316,0.2932680794547916
37008317,0.2935055742235859
37008318,0.46309602923336596
37008319,0.46306595231099185
37010696,0.06457702011991681
37010697,0.06467206673588896
37010698,0.06180126887946335
37010699,0.06206811773340209
36982533,0.1885857170124516
36982534,0.7010168595471462
36982535,0.33655624053905214
36982536,0.3355249090824601
36982537,0.35293759107561207
36982538,0.1885680051953465
36982539,0.18724334039612672
36982540,0.3547874553930228
36982541,0.1885517850911265
36982542,0.7010223281151344
36984973,0.3654192114392856
36984974,0.365595802140036
36984975,0.3550484692073132
37008083,0.3912944192587431
37008084,0.5679576488050192
37008085,0.2550555925449196
37008086,0.4814908130622333
37008087,0.23336653057016316
37008088,0.4082399690530519
37008089,0.06294537403267267
37008090,0.06294209453159591
37008091,0.06285913156949971
36996696,0.304967813097036
36996697,0.3047551632813221
36996698,0.3583093833837793
36996699,0.40246647048607426
36996700,0.3003510295244123
36996701,0.3669725608841196
36996702,0.2066644206690668
36996703,0.1448674175776998
36974979,0.0954969502538369
36974980,0.09556557800939601
36991779,0.18192777576033506
36991780,0.19274702767458177
36991781,0.15168007727523375
36991782,0.1451586066169021
36991783,0.1825100765871101
36991784,0.13229803698537118
36991785,0.23105485954866745
36991786,0.1977865716860305
36981550,0.26354697008620753
36981551,0.41165472661894165
36981552,0.1412908280486277
36981553,0.1683821482292253
36981554,0.33928245334385315
36981555,0.16610435106243673
36981556,0.17231645689304395
36981557,0.19778040436274302
36981558,0.27729908895311745
37016149,0.4682577975706202
37016150,0.48897946579324614
37016151,0.5045813866573345
37013076,0.23683724080084342
37013077,0.671216703781748
37013078,0.3217842913537357
37013079,0.3059331600559017
37013080,0.23795595636578984
37013081,0.928071406532672
37013082,0.41911046408536806
37013083,0.3032006670590468
37013084,0.2880551362019887
37008698,0.5594077702594226
37008699,0.2640860157463058
37008700,0.530889167711026
37008701,0.3983723993975959
37008702,0.5231828266580111
37008703,0.39842562429394957
37008704,1.1033025882450687
37008705,0.5614060686570196
36974389,0.1295085278589742
36974390,0.15418201788533606
37014267,0.30231941911113774
37014268,0.33493516614598906
37014269,0.10328940023789555
37014270,0.11829103129556269
37014271,0.33510083363734355
37014272,0.2491172015200351
37014273,0.4086631715770903
37009599,0.18079292981172446
37009600,0.18079998949851783
37009601,0.18095279973314046
37009602,0.18138285520484568
37009603,0.3153608881897199
37009604,0.18089315602682274
37009605,0.18091375906534837
37009606,0.3161714792995426
37009607,0.3173536559377159
37009608,0.3171246833277249
36999326,0.05576347926538118
36999327,0.0662726364491035
36996073,0.07833504188200728
36996074,0.07314864379396926
36996075,0.29168620129036893
36996076,0.07816692394624833
36996077,0.07351109210649494
36996078,0.2914913033903437
36996079,0.07866425746283232
36989744,0.33138565437436923
36989745,0.33396533748957935
36989746,0.3588555289607903
36989747,0.34270812583536575
36989748,0.3289753836333837
36989749,0.3381148238544904
36989750,0.3448744580508017
36989751,0.3442208623014438
36989752,0.49796354819147604
36989753,0.3273198821587554
36983669,0.2742511386098951
36983670,0.1594207868906491
36983671,0.4068564762975793
36983672,0.15293904716459336
36983673,0.1225294944526333
36983674,0.38156933222502115
36983675,0.12752428258766937
36983676,0.1624101617209805
37011180,0.19504308728430989
37011181,0.21482220784265676
37011182,0.18318783190651974
37011183,0.16701173832635072
37011184,0.19305756818614975
37011185,0.1582451504268565
37011186,0.17412083387545657
37011187,0.21413330144480336
37011188,0.3008971337955018
37011189,0.13148906364744964
36978937,0.15039033510278121
36978938,0.07784460956148899
36978939,0.17100118593416216
36978940,0.5115791272753248
36978941,0.5094813824961618
36978942,0.11215851654241
36978943,0.18344592474388194
36978944,0.4202960654883455
36978945,0.15116509874073622
36978946,0.13301489813053927
36981719,0.3363139388710151
36981720,0.4431943971425545
36981721,0.17979694684429937
36981722,0.28090777861150074
36981723,0.1589104027180443
36981724,0.3947802014124735
36981725,0.16831607369022109
36981726,0.20447123327613317
36981727,0.34966242090302635
36981728,0.14796889643610792
36975564,1.2577782895431873
36975565,1.0276545485480832
36975566,0.1557768989823507
36975567,0.14657471503646505
36975568,0.11487097183937221
36975569,0.3737717917420025
36975570,0.3418992374692921
36975571,0.3173028139010883
37016184,0.279090686928703
37016185,0.1249868549648599
37016186,0.2791842973826014
37016187,0.6864498633551103
37018483,0.42441897851884963
37018484,0.4242996707733454
37018485,0.5793132636159745
37018486,0.3199397344738716
37018487,0.31985243672262764
37018488,0.3202319045128549
37006531,0.395686929896994
37006532,0.39567749160046006
37006533,0.07015831549553256
37011426,0.10689192023125685
37011427,0.05289871176187411
37011428,0.13752321894369524
37011429,0.1066061536174391
37011430,0.05511928591999084
37011431,0.10752076378885231
37011432,0.05382476685651714
36988935,0.09885704963189391
36988936,0.2159585500878015
36988937,0.3050803392691889
36988938,0.8591135479973243
36988939,0.1918322337701134
36988940,0.12808791353144186
36988941,0.1792365595354271
36988942,0.23410499255189782
36988943,0.2985543981759626
37016398,0.5260163668379682
37016399,0.5241247917433359
37016400,0.31177877652877545
37016401,0.6106860404232837
37016402,0.0892696504585994
37016403,0.09326428001664419
37016404,0.1396131866236591
36974877,0.22802970441441645
36974878,0.2917523229055264
37012819,0.5782136721205314
37012820,0.6926811298484394
37012821,0.6401697467373434
37012822,0.2995980039228539
37012823,0.7729203740351659
37012824,0.6400378054916889
37012825,0.26494022757961294
37012826,0.6396540896197618
37012827,1.2866388900723862
37009403,1.2054853212809693
37009404,0.14410261293330082
37009405,0.429541002946394
37009406,0.9407152489290389
37009407,1.151356894286291
37009408,0.10603878421587656
37009409,1.1600757802894879
37009410,1.4870341130969427
36974459,0.16651841359680483
36974460,0.18345908911857692
36974461,0.2802140971837414
36974462,0.9715611579661017
36974463,0.1358813579828029
36974464,0.13190042932815016
36974465,0.19856215051091436
36974466,0.12948915205576395
36974467,0.13116564868699465
37016176,0.04489575625509508
37016177,0.03311010343609681
37011942,0.0880654264635062
37011943,0.5824876065873144
37011944,0.4698954152323871
37011945,0.3537361481912825
37014802,0.060109265867135234
37014803,0.05408189364055103
36970327,0.20302349648003273
36970328,0.23159350382246516
36970329,0.20297266989621082
36970330,0.23287230246758106
36970331,0.10342711905303444
36970332,0.10292596470978829
37014770,0.08585797353305732
37014771,0.09249307212105164
37014772,0.08637916450095584
37014773,0.11055032167434495
37014774,0.110905259484383
37014775,0.09986530778748476
37014776,0.08475397558253792
36961641,0.33321519600400795
36961642,0.2535996892235807
36961643,0.25228666063541894
36961644,0.1551692034564734
36961645,0.33321226987273367
36961646,0.6534213717344198
36961647,0.653226559567181
36961648,0.11794204634008833
37012653,1.307215254308934
37012654,0.6794011236681197
37012655,1.5420766864855848
37012656,0.8039288528346408
37012657,1.5423374278359452
37012658,0.6009722096023167
37012659,1.5998107177297445
37012660,1.2399701504069487
37012661,0.73765255175414
37012662,0.6228609795186484
37007501,0.23736107589638294
37007502,0.24265293085883405
37007503,0.3072300768502219
37007504,0.34134864399478854
37007505,0.25061207342466796
37007506,0.3969026503986627
37007507,0.45173387481455674
37007508,0.2749815417844345
37007509,0.24083350597002412
37007510,0.24437491801617509
36996187,0.24394060549311358
36996188,0.39598574186364255
36996189,0.15939360676987735
36996190,0.1756437905244141
36996191,0.3193352889472694
36996192,0.2489438130029129
36996193,0.1340227068535467
36996194,0.24439083344997925
36996195,0.45869673012307716
36994603,0.17386479929890775
36994604,0.4809613996940567
36994605,0.13564019190042742
36994606,0.2226545763276298
36994607,0.18608889623977415
36994608,0.1878377932371692
36994609,0.42077873567359403
36994610,0.17402034592070592
36994611,0.14669320822322446
36994612,0.4883168307664754
36959575,0.175542264344192
36959576,0.8408503123043369
36959577,1.3380194950791768
36959578,0.962385032366346
36959579,0.9618570207200189
36959580,0.158806988755395
36959581,0.5772086242942448
36959582,0.1341136795971518
36959583,0.40676476826093977
36959584,0.3210948926741109
37012875,0.40019654221171586
37012876,0.19350878376435016
